corruption,severity,param,n_samples,age_mae,age_rmse,interval_coverage,mean_interval_width,interval_coverage_calibrated,mean_interval_width_calibrated,gender_accuracy,abstention_rate,mean_confidence,age_mae_delta,age_mae_pct_change,age_rmse_delta,age_rmse_pct_change,interval_coverage_delta,interval_coverage_pct_change,mean_interval_width_delta,mean_interval_width_pct_change,interval_coverage_calibrated_delta,interval_coverage_calibrated_pct_change,mean_interval_width_calibrated_delta,mean_interval_width_calibrated_pct_change,gender_accuracy_delta,gender_accuracy_pct_change,abstention_rate_delta,abstention_rate_pct_change
high_contrast,3,2.4,300,6.713366399655739,9.603893149360983,0.7366666666666667,16.650407791137695,0.85,23.65666961669922,0.9375,0.14666666666666667,0.9338557720184326,0.9603473719457787,16.692928831282753,1.506499305044752,18.60474288406019,-0.033333333333333326,-4.329004329004328,0.33078956604003906,2.026944267184655,-0.033333333333333326,-3.7735849056603765,0.33078765869140625,1.4181142616039275,-0.024621212121212155,-2.5590551181102397,0.026666666666666672,22.222222222222225
grayscale,1,0.4,300,5.719921084443728,8.058322161942243,0.7666666666666667,16.78717803955078,0.8933333333333333,23.793439865112305,0.9613899613899614,0.13666666666666666,0.9344649314880371,-0.03309794326623283,-0.5753143368171295,-0.03907168237398828,-0.48252169926764393,-0.0033333333333332993,-0.43290043290042846,0.467559814453125,2.86501686500284,0.010000000000000009,1.132075471698114,0.4675579071044922,2.0044597153762873,-0.0007312507312507988,-0.07600401301189404,0.016666666666666663,13.888888888888888
grayscale,2,0.7,300,6.019387404918671,8.412846700494068,0.77,17.82626724243164,0.8966666666666666,24.832530975341797,0.9561752988047809,0.16333333333333333,0.9238579273223877,0.2663683772087104,4.630062510235442,0.3154528561778367,3.8957331487495956,0.0,0.0,1.5066490173339844,9.232133966326094,0.013333333333333308,1.5094339622641482,1.5066490173339844,6.459129905768683,-0.0059459133164312394,-0.6180004391881289,0.043333333333333335,36.111111111111114
grayscale,3,1.0,300,6.433565428455671,8.83710892037413,0.7933333333333333,19.338308334350586,0.9033333333333333,26.344572067260742,0.9314516129032258,0.17333333333333334,0.9145326614379883,0.68054640074571,11.829378583102088,0.7397150760578981,9.135224126181328,0.023333333333333317,3.030303030303028,3.0186901092529297,18.49730837827161,0.020000000000000018,2.264150943396228,3.0186901092529297,12.941376084674083,-0.0306695992179864,-3.187706375412759,0.053333333333333344,44.44444444444445
partial_occlusion,1,0.1,300,7.964354957938195,11.255454877005693,0.6666666666666666,16.862834930419922,0.7866666666666666,23.869096755981445,0.8923076923076924,0.13333333333333333,0.9330434203147888,2.211335930228234,38.43783445834483,3.158061032689462,39.00095627565634,-0.10333333333333339,-13.419913419913426,0.5432167053222656,3.328611600036465,-0.09666666666666668,-10.943396226415096,0.5432147979736328,2.32880711199495,-0.0698135198135198,-7.256208358570561,0.013333333333333336,11.111111111111112
partial_occlusion,2,0.2,300,10.523433429400127,14.291504914560909,0.5133333333333333,16.665983200073242,0.6633333333333333,23.6722469329834,0.8052434456928839,0.11,0.9359285235404968,4.770414401690166,82.92019161961768,6.194111070244677,76.49511916222875,-0.2566666666666667,-33.333333333333336,0.34636497497558594,2.122384054566407,-0.21999999999999997,-24.905660377358487,0.34636497497558594,1.4848955147725007,-0.1568777664283283,-16.305405644519162,-0.009999999999999995,-8.33333333333333
partial_occlusion,3,0.35,300,12.674718283017476,16.930611344557942,0.44666666666666666,15.954705238342285,0.5733333333333334,22.960969924926758,0.6870229007633588,0.12666666666666668,0.9339533448219299,6.921699255307516,120.3142075833314,8.83321750024171,109.08716643987835,-0.32333333333333336,-41.991341991342,-0.3649129867553711,-2.236038746262935,-0.30999999999999994,-35.0943396226415,-0.3649120330810547,-1.5644082986357555,-0.27509831135785334,-28.592895353729634,0.006666666666666682,5.555555555555569
partial_crop,1,0.1,300,6.61955684185028,9.183446447884485,0.74,18.305097579956055,0.8966666666666666,25.311357498168945,0.9565217391304348,0.15666666666666668,0.9269348382949829,0.8665378141403197,15.062314412077527,1.0860526035682536,13.412372232957173,-0.030000000000000027,-3.8961038961038996,1.9854793548583984,12.166212024524963,0.013333333333333308,1.5094339622641482,1.9854755401611328,8.51189911590681,-0.005599472990777343,-0.5819924683327632,0.03666666666666668,30.555555555555568
partial_crop,2,0.2,300,9.280079154173533,12.763303295953222,0.6833333333333333,22.069629669189453,0.8,29.075891494750977,0.8770491803278688,0.18666666666666668,0.8939976096153259,3.5270601264635726,61.30798645850385,4.66590945163699,57.62236024757659,-0.08666666666666667,-11.255411255411255,5.750011444091797,35.23373748565364,-0.08333333333333326,-9.433962264150935,5.750009536743164,24.650770106333223,-0.08507203179334333,-8.842132438363242,0.06666666666666668,55.55555555555557
partial_crop,3,0.35,300,10.014931908845902,13.760815585431477,0.6766666666666666,22.840307235717773,0.79,29.846569061279297,0.7913043478260869,0.23333333333333334,0.8802391290664673,4.261912881135942,74.08132774475514,5.663421741115245,69.9412903707351,-0.09333333333333338,-12.121212121212126,6.520689010620117,39.95613696766548,-0.09333333333333327,-10.56603773584905,6.520687103271484,27.954729064522777,-0.17081686429512521,-17.75419376925711,0.11333333333333334,94.44444444444446
